"n","p1","p2","r","zero_benchmark","nb_discoveries","nb_real_discoveries","distance_tot","distance_U","distance_V","sinTheta_tot","sinTheta_U","sinTheta_V","prediction_tot","prediction_U","prediction_V","TPR","TNR","FPR","FNR","noise","method","prop_missing","overlapping_amount","n.1","r_pca","exp"
100,50,50,2,2,100,93,2.55234865883607,1.81067754699066,1.79507852391998,3.59656762429758,3.79467104192052,3.77531223550314,2.01693093885675,287.668776968613,266.283061553459,0.311827956989247,0.857142857142857,0.688172043010753,0.0333333333333333,1,"Alt-0.005",0.2,0,100,0,1
100,50,50,2,2,100,87,2.33397028953199,1.72319194977206,1.56630434199051,3.3306603877412,3.21337003930254,3.32717322144449,1.84412619326627,240.971751031,289.652361890369,0.310344827586207,0.769230769230769,0.689655172413793,0.1,1,"Alt-0.01",0.2,0,100,0,1
100,50,50,2,2,100,58,2.30054869802314,1.59027532233947,1.59407350694639,2.62671722026038,2.89476518107309,3.40080182997596,1.25481141669694,256.375966525909,234.366303742525,0.310344827586207,0.714285714285714,0.689655172413793,0.4,1,"Alt-0.05",0.2,0,100,0,1
100,50,50,2,2,100,36,2.01671154093228,1.50085969525097,1.34536856427644,2.41123186372524,2.90473439521894,2.72081241197322,1.42327727729212,246.76930867363,171.441251679938,0.333333333333333,0.71875,0.666666666666667,0.6,1,"Alt-0.1",0.2,0,100,0,1
100,50,50,2,2,100,4,1.99082158181549,1.35399148420548,1.45803497841527,1.8731262395487,2.68377588070075,2.8999643834471,0.580663195418794,143.155601887376,204.356718229977,0.5,0.708333333333333,0.5,0.933333333333333,1,"Alt-0.5",0.2,0,100,0,1
100,50,50,2,2,100,100,3.33130135061416,2.34130893139983,2.30239419067491,8.03460246385001,4.53631936254705,6.08780227416081,5.23869824763473,527.155354572888,493.416089910749,0.3,0,0.7,0,1,"CCA-mean",0.2,0,100,0,1
100,50,50,2,2,100,100,3.30846014994782,2.33719868598003,2.29590611958989,7.9037866386717,4.54584981079123,6.01379244665482,5.42417659833114,511.849402311624,493.0562956476,0.3,0,0.7,0,1,"CCA-median",0.2,0,100,0,1
100,50,50,2,2,100,100,2.73096969392337,1.83481583850419,1.97583567538523,5.68839619969436,4.0437370701103,4.3060074772623,3.02510095966404,332.761958541749,346.424641216896,0.3,0,0.7,0,1,"RRR",0.25,0,100,0,1
100,50,50,2,2,100,100,2.70581457321796,1.97505110610569,1.81964408583774,4.99288264624613,4.40275975563353,3.72500902634333,3.03588731470971,438.590211908137,295.984624489354,0.3,0,0.7,0,1,"Alt-1e-04",0.25,0,100,0,1
100,50,50,2,2,100,99,2.64197811033607,1.92507498398043,1.77866083474097,4.66357022753552,4.19922729313737,3.62825036293574,2.86120163901876,422.32757072305,280.170214101864,0.292929292929293,0,0.707070707070707,0.0333333333333333,1,"Alt-5e-04",0.25,0,100,0,1
100,50,50,2,2,100,99,2.54787462322175,1.8671762770681,1.69881841593065,4.34501792182956,3.9618857366104,3.48760207369888,2.61176789942022,400.634739111493,248.484743900461,0.292929292929293,0,0.707070707070707,0.0333333333333333,1,"Alt-0.001",0.25,0,100,0,1
100,50,50,2,2,100,93,2.73092670457749,2.121600135371,1.67818629468231,5.13499129743694,4.63590749298504,3.37807092519299,2.78820143625244,462.522619095503,272.158303852496,0.301075268817204,0.714285714285714,0.698924731182796,0.0666666666666667,1,"Alt-0.005",0.25,0,100,0,1
